W_age,W_edu,H_edu,Num_of_child,W_relig,W_work,L_index,Media,Contraceptive
32,Low wife education ,Lower-middle husband education ,4,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,No-use
34,Upper-middle wife education ,Lower-middle husband education ,8,Religion Islam,Wife now working,Upper-middle standard-of-living,Not good media,No-use
45,Low wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Not good media,No-use
47,Low wife education ,Low husband education,7,Religion Islam,Wife now not working,Upper-middle standard-of-living,Not good media,No-use
25,Low wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Not good media,No-use
49,Low wife education ,Upper-middle husband education,0,Religion Islam,Wife now not working,Upper-middle standard-of-living,Not good media,No-use
48,Low wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Not good media,No-use
44,Low wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Not good media,No-use
45,Low wife education ,Lower-middle husband education ,6,Religion Islam,Wife now not working,Upper-middle standard-of-living,Not good media,No-use
46,Low wife education ,Lower-middle husband education ,8,Religion Islam,Wife now not working,Upper-middle standard-of-living,Not good media,No-use
44,High wife education ,High husband education,3,Religion Islam,Wife now working,High standard-of-living,Not good media,No-use
44,Upper-middle wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Not good media,No-use
21,Low wife education ,Upper-middle husband education,0,Religion Islam,Wife now working,High standard-of-living,Not good media,No-use
43,Low wife education ,Lower-middle husband education ,1,Religion Islam,Wife now not working,High standard-of-living,Not good media,No-use
48,Low wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,High standard-of-living,Not good media,No-use
29,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Not good media,No-use
33,Lower-middle wife education ,Upper-middle husband education,5,Religion Islam,Wife now working,Low standard-of-living,Good media,Long-term
21,High wife education ,High husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Long-term
36,Lower-middle wife education ,Low husband education,6,Religion Islam,Wife now not working,Low standard-of-living,Good media,Long-term
25,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Long-term
25,Upper-middle wife education ,Low husband education,4,Religion Islam,Wife now not working,Low standard-of-living,Good media,Long-term
38,High wife education ,High husband education,4,Religion non-Islam,Wife now working,Lower-middle standard-of-living,Good media,Long-term
23,High wife education ,High husband education,1,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
22,High wife education ,High husband education,1,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
28,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
32,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
40,Lower-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
35,Upper-middle wife education ,High husband education,3,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
36,Upper-middle wife education ,High husband education,7,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
34,Lower-middle wife education ,Lower-middle husband education ,8,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
29,High wife education ,Upper-middle husband education,4,Religion Islam,Wife now working,Lower-middle standard-of-living,Good media,Long-term
21,Lower-middle wife education ,Lower-middle husband education ,1,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
20,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
24,High wife education ,High husband education,1,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
26,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
35,Upper-middle wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
36,Upper-middle wife education ,Lower-middle husband education ,6,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
44,High wife education ,High husband education,7,Religion Islam,Wife now not working,Lower-middle standard-of-living,Good media,Long-term
26,High wife education ,High husband education,1,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
29,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
29,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
28,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
24,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
27,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
36,Upper-middle wife education ,Upper-middle husband education,5,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
35,High wife education ,High husband education,5,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
31,High wife education ,Lower-middle husband education ,2,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
25,High wife education ,High husband education,2,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
36,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
44,High wife education ,High husband education,6,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
32,Upper-middle wife education ,High husband education,7,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
22,High wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
26,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
28,High wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
37,Upper-middle wife education ,High husband education,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
31,Upper-middle wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
40,High wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
28,High wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
41,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
38,High wife education ,High husband education,5,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
42,High wife education ,High husband education,6,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
40,High wife education ,High husband education,6,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
44,High wife education ,High husband education,4,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
47,Upper-middle wife education ,High husband education,11,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
34,Upper-middle wife education ,High husband education,2,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
19,High wife education ,High husband education,1,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
30,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
33,Lower-middle wife education ,Lower-middle husband education ,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
25,Upper-middle wife education ,High husband education,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
35,High wife education ,High husband education,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
35,Upper-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
45,Upper-middle wife education ,Upper-middle husband education,8,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
43,Lower-middle wife education ,High husband education,13,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
28,Lower-middle wife education ,Low husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
31,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
37,High wife education ,High husband education,2,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
29,High wife education ,High husband education,3,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
32,Upper-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
38,High wife education ,High husband education,6,Religion Islam,Wife now working,Upper-middle standard-of-living,Good media,Long-term
32,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
35,High wife education ,High husband education,4,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
33,Upper-middle wife education ,High husband education,5,Religion non-Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
28,Lower-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
34,Lower-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
24,Lower-middle wife education ,High husband education,2,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
23,High wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
33,High wife education ,High husband education,3,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
30,High wife education ,Low husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
44,Lower-middle wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
34,High wife education ,High husband education,4,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
38,High wife education ,High husband education,6,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
47,Low wife education ,Low husband education,10,Religion Islam,Wife now not working,Upper-middle standard-of-living,Good media,Long-term
27,High wife education ,High husband education,1,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
30,High wife education ,High husband education,2,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
32,High wife education ,High husband education,2,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,3,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
46,High wife education ,High husband education,3,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,4,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
35,High wife education ,High husband education,5,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
40,High wife education ,High husband education,6,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
24,High wife education ,High husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
26,High wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
46,High wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
35,High wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
32,High wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
38,High wife education ,High husband education,3,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
42,High wife education ,High husband education,3,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
44,High wife education ,High husband education,3,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,4,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
47,High wife education ,High husband education,4,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
41,High wife education ,High husband education,4,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
44,High wife education ,High husband education,5,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
47,High wife education ,High husband education,6,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
42,High wife education ,Upper-middle husband education,7,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
26,High wife education ,High husband education,2,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
43,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,4,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
48,High wife education ,High husband education,4,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,4,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
41,High wife education ,High husband education,6,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
48,High wife education ,High husband education,7,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
42,High wife education ,High husband education,8,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
31,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
21,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
25,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
24,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
24,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
30,Upper-middle wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
32,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
34,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
38,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
29,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
40,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
37,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
34,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
37,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
31,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
27,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
44,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
35,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
46,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
41,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
44,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
37,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
46,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
44,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
45,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
41,Upper-middle wife education ,Upper-middle husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
46,High wife education ,Upper-middle husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
44,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
42,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
43,High wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
38,High wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
45,High wife education ,High husband education,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
37,High wife education ,Upper-middle husband education,8,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
42,Lower-middle wife education ,High husband education,8,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
47,High wife education ,High husband education,8,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
49,High wife education ,High husband education,10,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
49,Upper-middle wife education ,Upper-middle husband education,11,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
27,Upper-middle wife education ,Upper-middle husband education,1,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
32,High wife education ,High husband education,2,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
36,Upper-middle wife education ,High husband education,4,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
41,High wife education ,High husband education,4,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
32,High wife education ,High husband education,4,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
41,High wife education ,High husband education,4,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
37,High wife education ,High husband education,4,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
29,High wife education ,High husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
43,Upper-middle wife education ,High husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,3,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
48,High wife education ,Upper-middle husband education,7,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
26,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
30,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,Upper-middle wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
45,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
31,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,4,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
41,High wife education ,High husband education,5,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
45,Upper-middle wife education ,Upper-middle husband education,6,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
48,High wife education ,High husband education,6,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
20,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
17,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
36,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
25,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
42,Upper-middle wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
32,High wife education ,High husband education,4,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
27,Upper-middle wife education ,Lower-middle husband education ,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,High wife education ,Upper-middle husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
39,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
47,Lower-middle wife education ,Lower-middle husband education ,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
30,Upper-middle wife education ,High husband education,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
44,High wife education ,High husband education,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
41,High wife education ,High husband education,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
36,Upper-middle wife education ,High husband education,3,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
35,High wife education ,High husband education,3,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
27,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
30,Lower-middle wife education ,High husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
32,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
23,Upper-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
33,Lower-middle wife education ,Lower-middle husband education ,6,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
40,Upper-middle wife education ,High husband education,2,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
37,High wife education ,High husband education,3,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
38,High wife education ,High husband education,4,Religion non-Islam,Wife now not working,High standard-of-living,Good media,Long-term
18,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
23,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
24,High wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
26,Low wife education ,Low husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
29,High wife education ,High husband education,2,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
30,Lower-middle wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
26,Upper-middle wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,High wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,Upper-middle wife education ,Upper-middle husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
34,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
37,High wife education ,High husband education,5,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
35,Lower-middle wife education ,Lower-middle husband education ,6,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
33,Upper-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
34,Upper-middle wife education ,Upper-middle husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
25,Lower-middle wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
34,High wife education ,High husband education,6,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
42,Lower-middle wife education ,Upper-middle husband education,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
37,Lower-middle wife education ,Upper-middle husband education,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
45,Upper-middle wife education ,Upper-middle husband education,7,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
31,High wife education ,High husband education,3,Religion non-Islam,Wife now working,High standard-of-living,Good media,Long-term
25,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now working,High standard-of-living,Good media,Long-term
22,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,High standard-of-living,Good media,Long-term
24,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,Long-term
43,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now not working,Lower-middle standard-of-living,Not good media,Long-term
24,Low wife education ,High husband education,1,Religion Islam,Wife now working,Lower-middle standard-of-living,Not good media,Long-term
35,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now working,Upper-middle standard-of-living,Not good media,Long-term
35,Low wife education ,Upper-middle husband education,7,Religion Islam,Wife now working,Upper-middle standard-of-living,Not good media,Long-term
25,Lower-middle wife education ,High husband education,3,Religion Islam,Wife now not working,High standard-of-living,Not good media,Long-term
35,Lower-middle wife education ,High husband education,3,Religion non-Islam,Wife now working,High standard-of-living,Not good media,Long-term
47,Low wife education ,Low husband education,8,Religion Islam,Wife now not working,High standard-of-living,Not good media,Long-term
24,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now working,Low standard-of-living,Good media,Short-term
20,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
19,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
25,Upper-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
17,Upper-middle wife education ,High husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
25,Low wife education ,Lower-middle husband education ,2,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
22,Upper-middle wife education ,Lower-middle husband education ,2,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
24,Lower-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
29,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
25,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
30,Lower-middle wife education ,Lower-middle husband education ,4,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
29,Lower-middle wife education ,Upper-middle husband education,4,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
27,Lower-middle wife education ,High husband education,4,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
32,Lower-middle wife education ,Lower-middle husband education ,8,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
41,Low wife education ,High husband education,9,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
33,Lower-middle wife education ,Upper-middle husband education,7,Religion Islam,Wife now working,Low standard-of-living,Good media,Short-term
22,High wife education ,High husband education,1,Religion non-Islam,Wife now not working,Low standard-of-living,Good media,Short-term
31,Upper-middle wife education ,Upper-middle husband education,6,Religion non-Islam,Wife now not working,Low standard-of-living,Good media,Short-term
25,Lower-middle wife education ,Upper-middle husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
21,High wife education ,High husband education,1,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
22,Low wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
23,Lower-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
25,Lower-middle wife education ,Upper-middle husband education,2,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
30,Upper-middle wife education ,Upper-middle husband education,3,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
27,Lower-middle wife education ,Lower-middle husband education ,5,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
31,Upper-middle wife education ,High husband education,5,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
30,Lower-middle wife education ,Lower-middle husband education ,6,Religion Islam,Wife now not working,Low standard-of-living,Good media,Short-term
29,Low wife education ,Lower-middle husband education ,5,Religion Islam,Wife now working,Lower-middle standard-of-living,Good media,Short-term
